2019-12-08 11:29:49,461 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:49,463 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:49,473 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:49,890 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | JavaFX Application Thread | d.s.a.m.project.AppModelController [AppModelController.java:218] Successfully loaded working directory E:\AIN\6_Semester\LIDAR_AppSpace\work
2019-12-08 11:29:49,965 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:49,974 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:50,470 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:50,477 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:50,963 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:50,972 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:50,979 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:51,465 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:51,475 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:51,481 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:51,976 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:51,982 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:52,478 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-2 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:52,484 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-1 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:52,967 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:53,469 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:54,971 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:55,474 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | GE-pool-17-thread-3-3 | d.s.s.c.cola.TCPConnection [TCPConnection.java:203] Using non secured TCP connection
2019-12-08 11:29:55,735 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-27 | d.s.a.n.n.p.NodeServiceProvider [NodeServiceProvider.java:255] UI-Builder Service : Server started on port: 4103
2019-12-08 11:29:56,975 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | pool-17-thread-3 | d.s.s.zero.apiimpl.scan.ScanManager [ScanManager.java:356] Scan completed
